language,split,id,utt,annot_utt,scenario
Vietnamese,test,0,đánh thức tôi dậy lúc năm giờ sáng tuần này,đánh thức tôi dậy lúc [time : năm giờ sáng] [date : tuần này],alarm
Vietnamese,test,3,im lặng,im lặng,audio
Vietnamese,test,8,màu hồng là màu chúng tôi cần,[color_type : màu hồng] là màu chúng tôi cần,iot
Vietnamese,test,14,và bóng tối đã phủ xuống,và bóng tối đã phủ xuống,iot
Vietnamese,test,19,tắt các đèn trong phòng ngủ,tắt các đèn trong [house_place : phòng ngủ],iot
Vietnamese,test,27,ở đây bẩn tạo một số tiếng ồn,ở đây bẩn tạo một số tiếng ồn,iot
Vietnamese,test,31,đi qua hành lang,đi qua [house_place : hành lang],iot
Vietnamese,test,41,tôi muốn trạng thái về độ sáng màn hình của tôi,tôi muốn trạng thái về độ sáng màn hình của tôi,general
Vietnamese,test,46,chuyện gì vậy,chuyện gì vậy,general
Vietnamese,test,47,thời gian ở úc bây giờ là mấy giờ,thời gian ở [place_name : úc] bây giờ là mấy giờ,datetime
Vietnamese,test,50,olly cho tôi biết thời gian theo múi giờ g. m. t. cộng năm,olly cho tôi biết thời gian theo múi giờ [time_zone : g. m. t. cộng năm],datetime
Vietnamese,test,59,hủy báo thức lúc bảy giờ sáng,hủy báo thức lúc [time : bảy giờ sáng],alarm
Vietnamese,test,61,báo thức nào tôi đã cài đặt,báo thức nào tôi đã cài đặt,alarm
Vietnamese,test,63,cho tôi biết về các báo thức của tôi,cho tôi biết về các báo thức của tôi,alarm
Vietnamese,test,71,tôi thích các bản nhạc senatra,tôi thích các bản nhạc [artist_name : senatra],music
Vietnamese,test,80,đặt độ sáng của các đèn cao hơn,đặt độ sáng của các đèn cao hơn,iot
Vietnamese,test,85,nói cho tôi hôm nay là ngày mấy,nói cho tôi [date : hôm nay] là ngày mấy,datetime
Vietnamese,test,86,hôm nay là ngày mấy,[date : hôm nay] là ngày mấy,datetime
Vietnamese,test,89,bạn có thể đặt sushi cho bữa tối tối nay không,bạn có thể đặt [food_type : sushi] cho [meal_type : bữa tối] [timeofday : tối nay] không,takeaway
Vietnamese,test,100,dự báo của tuần là gì,dự báo [time : của tuần] là gì,weather
Vietnamese,test,102,thời tiết của tuần này thế nào,thời tiết [date : của tuần này] thế nào,weather
